id,customer_id,product_id,quantity,sale_price
1606,7938,2088,4,14.0
364,160,1263,10,52.0
3860,2951,2336,9,7.0
2068,3517,9620,6,82.0
3193,4975,6419,3,9.0
5547,8587,4898,2,53.0
3637,5619,1657,10,69.0
7932,7382,298,5,94.0
9939,4332,6348,6,25.0
2711,9657,2336,2,83.0
478,5611,3225,10,70.0
9026,5161,9556,6,91.0
636,9657,137,1,67.0
4670,3633,7483,1,27.0
2342,661,4898,7,69.0
3672,9080,2346,7,10.0
4574,4332,8121,10,39.0
3910,3929,2269,1,0.0
3508,1585,9072,1,64.0
1299,6073,204,1,28.0
285,8863,8121,2,96.0
3361,9670,5587,6,44.0
3518,4460,9556,5,20.0
4271,1045,5781,1,6.0
6850,5156,814,2,7.0
8989,3823,2336,4,79.0
3174,5161,2886,1,77.0
2038,5550,204,10,9.0
506,5655,2336,3,4.0
4350,5161,4582,10,85.0
3302,6833,1263,9,60.0
1625,5619,7618,3,72.0
780,4924,9125,1,37.0
332,5550,9620,5,29.0
2970,3256,7483,3,9.0
4375,6354,6797,5,39.0
929,9670,97,3,63.0
3192,8458,814,5,49.0
6803,3844,5961,2,80.0
1362,2723,9965,8,74.0
2174,660,4120,9,3.0
7366,160,8121,10,7.0
2332,451,6419,2,28.0
648,2148,137,10,65.0
4017,1045,6348,9,39.0
7044,9749,4120,1,59.0
9281,4924,1516,5,32.0
6611,7938,1516,8,4.0
7431,4893,6630,10,72.0
7915,3316,2629,10,80.0
8687,6329,3044,2,78.0
1241,3214,5961,4,75.0
6492,2091,6630,2,80.0
1963,5586,298,3,78.0
6459,7938,6419,6,45.0
9861,3517,9620,8,62.0
449,9749,4120,1,60.0
42,4924,204,9,7.0
8611,2841,5781,2,39.0
9844,2998,4491,7,15.0
5056,1825,8121,2,45.0
1471,6979,6692,2,93.0
3533,8344,8121,3,94.0
1101,7938,9860,1,62.0
9248,4024,137,4,51.0
5305,2736,8428,8,26.0
6144,9173,1657,1,82.0
2209,3316,1516,1,40.0
4031,4332,2629,9,44.0
9542,740,8430,10,13.0
2090,3214,6630,5,13.0
7736,9360,2886,3,67.0
1289,6072,2750,10,64.0
1318,2124,1516,5,25.0
2512,7537,8121,2,5.0
9499,3256,2336,2,27.0
1807,4332,8428,4,30.0
2959,3316,2088,2,2.0
7183,241,2886,6,7.0
1156,2841,6419,4,25.0
243,2521,97,7,20.0
842,1828,814,6,35.0
3037,2124,8121,5,38.0
4926,3387,8428,10,84.0
9972,3387,8428,3,88.0
7928,4975,97,2,68.0
4241,9059,814,5,18.0
2254,3387,2088,4,38.0
6497,3214,137,1,11.0
7862,8344,7316,4,60.0
2829,2723,8428,3,44.0
3608,7537,9620,9,18.0
1959,7223,1657,5,44.0
6365,4332,9965,9,98.0
502,1678,1516,5,32.0
7337,2308,1516,6,99.0
2759,2998,5771,3,55.0
5359,2951,8121,7,56.0
4428,6329,3044,10,34.0
1139,6354,8121,1,19.0
3260,160,9433,2,25.0
2074,8458,6348,10,95.0
61,6073,755,3,18.0
3224,160,4898,5,7.0
6113,4990,1516,3,11.0
448,7665,2928,4,88.0
37,8863,6419,6,4.0
1277,1828,97,2,29.0
7088,3010,2336,2,50.0
9897,9173,204,4,15.0
5443,2736,9072,2,41.0
7574,5415,9556,2,13.0
1465,3517,6348,4,1.0
3862,9749,6348,1,88.0
6312,3134,6797,1,5.0
5610,6072,9433,2,54.0
6902,9360,2750,8,34.0
627,7838,2346,3,36.0
4351,9059,7483,7,42.0
1766,6073,298,3,4.0
877,6979,2928,10,54.0
5145,2124,9433,1,12.0
9759,3387,97,4,44.0
7259,5550,4491,10,62.0
567,3214,7483,6,54.0
639,1585,7618,1,47.0
9630,4990,7618,2,51.0
7184,2521,1263,6,40.0
4526,5586,298,2,5.0
4426,6256,755,5,19.0
9692,804,8639,5,75.0
3830,4332,1516,10,50.0
2285,5683,9556,10,2.0
552,3135,2886,1,7.0
7464,9670,1263,8,31.0
1656,355,814,4,82.0
2749,5550,9860,6,45.0
6443,257,8121,3,42.0
4123,5619,6692,8,31.0
1027,6329,9072,10,94.0
2475,7223,6348,2,47.0
8812,7537,2629,4,45.0
2021,2736,755,5,7.0
4291,5415,2269,10,7.0
7051,3929,5836,7,16.0
5535,3985,9556,7,77.0
1452,661,298,9,6.0
1665,7665,137,3,25.0
9118,4990,2336,3,80.0
9800,7310,1263,3,30.0
7569,9670,1263,7,46.0
6510,5161,2346,4,24.0
4196,6931,9860,8,37.0
1896,5683,814,3,27.0
9428,9059,7618,10,39.0
486,2148,4898,7,97.0
6661,9059,2336,9,84.0
3126,5655,755,8,36.0
7119,4952,2274,5,95.0
652,4847,9072,5,69.0
2185,7838,2629,10,57.0
1681,629,2928,9,45.0
8988,1828,5771,5,69.0
925,8863,8430,2,79.0
5416,3256,2886,5,20.0
6475,8587,5587,5,9.0
7873,6979,7618,5,1.0
7640,2230,9433,4,9.0
6999,6931,4120,10,64.0
7942,2761,2629,8,7.0
8362,6072,9620,10,62.0
8496,9080,5836,5,52.0
2790,6354,9620,1,42.0
8384,4460,2346,1,91.0
6295,2124,4898,5,12.0
6167,4460,8428,5,92.0
8122,3387,4898,2,72.0
3771,451,4582,4,6.0
2543,4847,9433,10,31.0
2166,1585,8121,1,33.0
4029,8587,298,3,62.0
9997,8863,4898,6,99.0
573,6256,6348,9,4.0
8727,7310,2928,9,46.0
4367,4847,9556,5,76.0
8329,2723,6797,10,47.0
724,4085,9860,10,81.0
136,4975,8121,10,94.0
5089,7310,4947,5,40.0
5373,9360,3225,1,88.0
2927,3929,4491,10,15.0
6693,7979,97,7,44.0
6127,1828,9620,8,30.0
3942,7049,5836,10,45.0
8400,3214,6630,1,79.0
7340,257,7316,2,91.0
882,2091,5961,9,33.0
1000,4460,4582,1,82.0
342,716,9620,3,37.0
8004,5550,204,9,61.0
926,5550,1516,8,91.0
5621,2230,3044,10,13.0
787,716,814,3,95.0
5328,355,7483,7,20.0
2696,257,8121,9,16.0
2702,7223,4120,4,22.0
6426,2736,5836,8,68.0
28,7665,2088,6,91.0
6440,7310,5771,4,6.0
7261,9115,2750,8,47.0
7613,451,4491,10,22.0
7118,3517,2274,4,54.0
4553,3316,9125,6,10.0
7510,8863,9965,6,3.0
8084,716,9805,9,68.0
7826,2736,5836,7,41.0
7816,3823,9072,7,87.0
4866,6329,4491,9,37.0
8889,6073,2750,4,46.0
9335,3517,7316,1,22.0
9867,3214,7316,9,92.0
5055,160,2886,7,0.0
6225,5156,4947,8,11.0
1172,3844,7483,1,0.0
3918,355,5587,1,3.0
2089,3823,6348,3,90.0
7150,7537,137,8,48.0
9110,9059,7618,5,59.0
3494,9173,5836,8,28.0
9365,5683,4120,1,92.0
3512,4952,9125,6,21.0
4360,4332,2886,4,14.0
4183,7938,6630,3,21.0
7713,5161,9805,2,52.0
9094,4315,9125,10,64.0
3318,355,3225,9,23.0
644,7310,2088,7,82.0
5388,2091,9965,3,27.0
5022,3517,5781,3,75.0
565,8038,8428,7,5.0
6772,4990,9805,2,76.0
5812,7537,1657,3,99.0
2008,3134,6630,4,16.0
3056,5619,4120,9,90.0
6080,2998,9072,9,76.0
2472,1678,8428,7,73.0
2900,7382,9805,4,4.0
1092,7979,5587,4,30.0
8858,716,137,10,81.0
5939,5156,8428,8,11.0
744,4024,2336,10,78.0
6830,4460,5836,6,42.0
2958,9670,2269,6,81.0
9323,3135,1263,9,57.0
4444,629,4898,5,99.0
8823,7187,5961,4,3.0
9495,6833,4947,9,5.0
2913,7433,7316,5,80.0
4306,7433,1657,6,52.0
8206,451,2346,5,39.0
6021,716,9125,8,76.0
8040,1828,6797,10,35.0
1935,2841,5587,5,68.0
8025,451,8121,8,35.0
934,2998,2928,1,77.0
2625,2124,9433,3,30.0
3983,1825,9965,1,89.0
2731,4460,9433,3,59.0
39,3929,7618,9,79.0
1590,1828,204,4,81.0
8228,5161,8430,9,67.0
581,5586,9556,10,15.0
9190,8110,1516,10,57.0
6238,7382,1516,5,19.0
4258,4460,6348,2,10.0
1979,3985,4582,8,90.0
7357,9080,8121,8,48.0
9663,9749,9805,4,59.0
7413,7838,2629,7,58.0
7690,2723,2274,2,71.0
194,451,2629,1,36.0
8200,9173,1657,5,86.0
5353,7310,7618,2,5.0
8860,2951,1263,4,88.0
4327,6073,4120,4,39.0
2474,8344,3044,8,44.0
519,7187,5961,7,7.0
3573,3316,9805,4,9.0
1711,4975,5771,1,69.0
8208,3256,6348,3,70.0
8305,7537,5961,10,77.0
987,2761,9125,4,93.0
4891,3517,6348,8,18.0
3007,2761,298,4,45.0
547,4952,2336,7,43.0
4450,1585,8639,2,71.0
3999,8863,3044,7,57.0
5998,660,6797,4,38.0
3626,4952,5781,5,39.0
9649,3010,2088,3,45.0
3900,3844,7618,3,70.0
5981,1828,9620,9,97.0
1797,4990,5781,10,61.0
8279,2230,6419,8,66.0
4172,5550,8639,8,35.0
6543,7433,9556,5,29.0
8829,451,9556,4,16.0
2324,3256,814,8,30.0
6488,5550,1657,4,54.0
6387,9173,9860,1,85.0
4565,3985,1263,3,47.0
3117,5550,814,10,18.0
4117,5619,3044,3,77.0
6554,3134,3044,8,39.0
9206,5415,2886,7,27.0
4963,2761,4898,9,55.0
4856,9080,7618,8,1.0
8780,3929,6797,5,60.0
8899,5156,2629,3,64.0
327,6072,3225,3,70.0
8190,8863,2336,3,32.0
9438,8458,7483,1,40.0
3463,7522,2629,6,83.0
1820,6256,2928,7,63.0
5995,8587,3225,10,79.0
7806,1825,137,3,50.0
6273,4332,9965,8,42.0
6559,5611,6419,9,0.0
7920,6979,97,8,43.0
5633,661,9860,7,40.0
3257,257,2928,8,29.0
6188,2470,9965,1,73.0
9659,818,6797,9,5.0
4806,804,5781,1,69.0
9669,1828,4582,6,43.0
7552,7938,2274,1,80.0
5522,241,1657,1,58.0
1347,5619,2336,1,41.0
2874,4893,1516,1,91.0
2025,6073,6630,6,2.0
5972,3214,8428,10,88.0
1604,4924,7316,10,43.0
5821,2951,5781,1,38.0
2359,9749,814,3,39.0
653,6833,814,7,22.0
3366,8038,3044,4,69.0
131,7938,6419,8,64.0
3507,2841,8428,6,28.0
6974,8344,5771,3,15.0
701,7433,2336,1,10.0
1908,7382,8428,2,53.0
7966,818,3225,4,76.0
4373,3929,3044,4,73.0
1706,7310,2269,5,33.0
3794,4024,2274,3,94.0
3892,6157,7618,1,24.0
5471,2761,2886,9,88.0
7181,3134,6692,1,26.0
8563,4990,2274,2,55.0
8261,6329,4947,4,97.0
1726,7382,6348,6,61.0
9466,661,5587,7,53.0
2257,8110,5771,10,35.0
3032,4085,1516,2,23.0
4635,2841,4120,3,77.0
5887,7665,7483,2,53.0
8402,6931,4947,1,5.0
7465,9360,1263,9,64.0
7667,3134,1516,10,50.0
7708,1828,3225,4,0.0
6101,451,9620,5,57.0
1360,818,1657,2,32.0
9087,4893,5961,3,21.0
9753,6354,4491,9,95.0
4566,2761,2269,9,2.0
7108,5586,7618,3,5.0
9199,804,2274,5,83.0
7479,2951,9860,10,44.0
9583,257,4491,2,35.0
6274,8038,9433,6,23.0
6852,740,2088,3,42.0
1229,2308,6419,9,93.0
5021,6979,2336,2,70.0
6791,5550,2274,1,35.0
2281,4484,2886,5,60.0
2229,9115,5587,1,53.0
9869,1585,5961,6,55.0
4584,660,2928,9,31.0
6624,9173,2269,8,28.0
1202,7382,814,8,39.0
5916,5611,7483,10,87.0
1192,7310,6692,1,21.0
7533,7187,2274,6,76.0
9952,451,6692,7,59.0
9122,4952,4582,5,8.0
4519,3517,6348,6,65.0
4798,2308,2750,1,33.0
1861,3010,137,1,73.0
8713,2470,9805,7,43.0
467,1045,1516,9,38.0
9236,7979,5771,8,94.0
8064,1678,4582,5,64.0
2246,716,7483,6,35.0
5510,4990,9620,8,16.0
5532,7838,814,2,78.0
7438,1585,6419,10,68.0
6159,5619,4898,7,11.0
3001,661,2886,1,98.0
819,2998,9556,7,9.0
3176,7310,204,9,63.0
657,5586,9860,5,44.0
4748,4024,204,7,43.0
5213,5611,9125,6,88.0
324,7838,5836,8,58.0
4807,1825,6419,5,86.0
3027,5586,9965,5,83.0
1183,2470,9965,8,95.0
337,8344,5771,10,16.0
5102,4975,137,5,19.0
3976,5161,2336,1,33.0
1486,6833,9860,7,44.0
1079,2761,4120,2,47.0
2399,4460,3225,2,42.0
4288,3844,4491,7,8.0
3710,355,5781,1,28.0
8460,8110,8428,7,83.0
3195,4332,8428,4,9.0
2217,4315,2928,3,37.0
5123,1045,3225,8,93.0
2978,5679,9860,3,59.0
2255,7838,5587,2,14.0
8726,4924,1263,6,69.0
9681,5586,814,7,8.0
4104,3134,2886,3,88.0
2079,451,5961,1,47.0
1078,2736,2274,3,48.0
3961,4024,9860,7,28.0
7657,5611,2629,1,15.0
851,7223,2336,3,73.0
6057,3256,137,4,24.0
945,3517,2750,7,32.0
9133,2148,3044,8,27.0
7106,2308,6692,4,36.0
3432,2723,814,9,83.0
7605,3823,4947,7,63.0
6560,241,814,8,52.0
5143,6329,2750,7,27.0
1160,6256,8428,7,24.0
4195,8863,6797,1,55.0
1331,4952,6692,7,87.0
7206,7223,2346,2,41.0
1248,9173,9072,1,39.0
140,4332,6419,6,46.0
3446,2723,2269,1,84.0
6385,2998,5836,4,57.0
120,3844,5781,3,15.0
695,9115,814,9,97.0
616,2308,814,3,84.0
3927,9360,4120,10,32.0
5269,9749,4947,5,39.0
806,5619,4898,3,25.0
6207,160,9620,4,49.0
2582,5683,814,10,31.0
1270,1045,9965,6,99.0
9953,1585,6692,5,6.0
5612,3214,1516,3,19.0
5639,5156,9433,8,4.0
5902,7522,137,2,21.0
2434,257,5961,3,42.0
4616,4847,5781,6,48.0
6002,2723,137,4,23.0
4125,257,97,5,55.0
6183,5611,5836,3,40.0
2814,8863,6630,1,83.0
4771,3517,97,2,0.0
2510,5611,2274,5,90.0
1116,2951,4582,3,85.0
7683,7522,8430,9,4.0
943,5655,4491,6,25.0
4769,3633,2346,1,22.0
3440,7522,1263,8,18.0
1762,804,3225,1,23.0
4247,4975,4898,9,59.0
2389,3316,7483,3,40.0
824,4484,1263,7,76.0
4780,5679,5836,9,5.0
9562,9059,8428,1,68.0
3770,2998,755,7,97.0
7095,3517,2269,10,59.0
7487,1825,5961,9,56.0
4166,257,1263,2,14.0
6866,5683,2088,1,30.0
8841,3134,9620,8,50.0
5234,7223,6797,1,74.0
1730,5550,2088,2,16.0
5861,6157,8430,6,31.0
20,8863,814,4,49.0
9099,4847,5836,5,33.0
2508,451,6348,5,8.0
5250,5586,3044,6,15.0
3364,8458,9072,7,35.0
4978,8110,2629,5,24.0
2600,2124,7618,3,28.0
5640,9749,204,6,30.0
887,2521,1516,5,22.0
1019,2723,4120,10,21.0
3130,8110,204,9,97.0
3649,9749,5836,2,47.0
4531,2308,1263,8,15.0
4987,5683,5771,3,54.0
8397,9749,1657,4,76.0
2286,2951,6797,10,57.0
3819,4332,4947,9,53.0
3835,5655,8121,8,94.0
7334,5156,9620,1,30.0
1089,4952,755,8,25.0
3869,5611,2886,9,92.0
8615,6329,97,3,63.0
76,7838,298,5,20.0
5262,257,4491,2,66.0
4684,6256,9965,7,35.0
6859,3823,5961,4,41.0
7834,4990,1516,1,91.0
2745,7938,1516,8,78.0
1400,2308,6419,5,77.0
3404,7979,2088,7,51.0
8612,3929,4120,2,73.0
1756,6979,5771,8,28.0
8308,6979,5961,9,59.0
8750,451,9965,2,1.0
2807,5619,3225,6,6.0
4674,3214,2750,4,5.0
996,3135,755,9,57.0
4157,7433,4120,5,81.0
7825,4990,5961,5,9.0
5014,2841,4947,9,12.0
3382,4952,4120,10,61.0
4333,716,1516,9,22.0
8673,4460,2336,7,34.0
4063,8110,814,5,16.0
3211,6072,1263,5,74.0
9577,5586,6797,10,61.0
8617,4847,9072,8,69.0
3871,9749,2269,5,4.0
3393,5679,6419,8,60.0
4865,4975,3044,1,69.0
2628,5619,814,10,49.0
8847,1585,2886,5,67.0
1287,3134,4947,6,22.0
277,2998,4947,9,92.0
1855,2091,137,7,70.0
1177,3316,2269,5,36.0
2716,8863,6348,10,16.0
6740,2230,2274,7,72.0
1064,4975,4491,8,32.0
3166,6256,2269,2,81.0
2571,257,9860,6,82.0
4254,9080,298,8,90.0
8281,6931,2336,3,22.0
729,5683,5961,6,93.0
9034,2841,5771,6,61.0
7250,3844,2088,3,67.0
9364,9360,5781,4,95.0
6698,4990,137,1,28.0
7443,6157,2928,5,63.0
4466,3985,5961,8,73.0
6763,3256,1516,5,97.0
9075,3387,9805,4,17.0
5003,6072,9965,3,43.0
5090,2521,9556,5,89.0
2823,6157,97,10,72.0
7159,241,9125,4,74.0
7916,8458,8639,3,95.0
3403,2736,2274,8,65.0
2581,5415,3225,4,55.0
7423,6157,814,8,4.0
4044,5415,4898,8,90.0
5392,6354,6419,9,1.0
8120,818,7618,2,75.0
6995,4332,2346,1,24.0
6915,1828,9620,5,26.0
4911,2124,2346,10,62.0
2320,4975,3044,4,17.0
1954,9115,9805,7,91.0
1792,4975,6692,4,80.0
1857,4460,9433,6,86.0
5109,5655,6630,3,74.0
4852,6072,2269,8,41.0
8688,355,9125,10,32.0
4140,3214,2750,7,73.0
2125,4085,814,10,4.0
2153,3387,1263,2,86.0
9358,629,2088,1,28.0
9920,3633,2088,3,99.0
5476,3387,4120,6,89.0
3433,7838,8121,1,71.0
7077,3844,137,6,61.0
2479,3823,9805,10,52.0
1333,8863,97,6,1.0
9989,8587,9433,8,58.0
2016,9080,5587,7,91.0
1425,9059,2629,9,75.0
8056,160,2346,10,86.0
7976,160,8428,7,18.0
6197,9115,3225,1,50.0
3326,9173,2088,10,47.0
3448,740,755,2,74.0
571,9059,2928,8,42.0
2333,3135,9965,9,60.0
2977,9080,6419,6,49.0
7296,3134,2336,8,96.0
9705,3387,4582,6,30.0
8665,355,4491,8,51.0
3443,1825,2629,6,42.0
3600,7049,97,3,41.0
812,5655,9125,2,90.0
1029,5550,2088,1,18.0
3370,8587,814,6,46.0
6044,804,1516,3,6.0
4663,6354,204,7,85.0
8429,4847,9556,6,41.0
3083,5161,9965,8,86.0
5157,7187,4947,1,79.0
3594,4024,2886,4,33.0
9070,241,7316,10,26.0
7278,2124,9965,8,47.0
9409,257,9620,2,78.0
7341,3929,2928,9,46.0
326,6329,9433,8,60.0
8880,6072,8428,1,91.0
3792,3010,9860,4,55.0
5955,2230,2088,5,3.0
1944,4484,1657,3,41.0
3821,6979,7316,9,77.0
3100,740,2336,4,36.0
1510,4024,9433,9,60.0
2284,7310,8121,2,51.0
7662,6072,6797,9,60.0
5020,2230,755,3,95.0
1,8344,2629,2,16.0
3096,5655,6797,9,24.0
3233,3134,9620,5,65.0
3099,6072,9860,6,51.0
9607,7187,5836,1,59.0
7384,3844,6630,3,61.0
176,8458,6348,9,89.0
453,3929,8639,4,44.0
7576,9115,2269,9,28.0
7292,5586,7316,4,40.0
9962,8344,4120,9,31.0
5606,3010,4947,9,65.0
2037,4332,1263,6,3.0
788,5161,298,8,87.0
1778,7665,2346,1,34.0
8767,3135,6348,9,73.0
7558,257,9125,1,65.0
5846,4990,3225,9,16.0
8443,1825,5961,8,21.0
9107,4332,9965,7,81.0
800,2951,6348,4,1.0
1272,8587,755,7,93.0
3684,1585,5587,10,18.0
303,2951,6797,6,82.0
3375,5161,298,1,92.0
5923,7665,2088,4,67.0
3583,2951,814,3,98.0
579,2148,97,2,65.0
7086,6256,298,3,8.0
3704,2124,7316,8,24.0
6472,2124,9556,1,74.0
9404,9115,8121,9,28.0
5384,160,5587,7,30.0
3028,4085,5587,8,81.0
8565,160,8639,3,70.0
1819,9749,2269,5,16.0
9254,7665,2928,5,54.0
9448,661,137,7,83.0
5716,9173,4120,2,85.0
5841,740,8121,4,6.0
5063,6072,5771,4,84.0
2245,5161,9805,3,97.0
4766,4924,6630,7,44.0
269,8110,9860,8,1.0
9325,9115,9860,5,95.0
6820,5619,9860,10,72.0
29,4952,9072,10,94.0
5917,9173,5771,3,41.0
5642,3256,3225,4,24.0
2486,7310,9433,4,95.0
3725,4024,2886,1,76.0
7006,7979,6348,6,42.0
4528,7187,298,1,71.0
9617,7522,8639,8,89.0
9507,3517,4491,1,44.0
526,8344,755,9,9.0
7850,1045,5781,7,72.0
5177,2470,5961,9,27.0
8037,2951,4491,3,33.0
5667,804,6692,6,21.0
4678,4893,6419,6,99.0
1240,661,9620,6,56.0
2363,4893,9433,5,29.0
6236,3214,8121,5,83.0
4747,3929,3225,1,62.0
4953,8038,814,7,58.0
884,9115,204,8,85.0
8087,9059,8121,5,11.0
6330,4847,2274,10,74.0
858,5611,2274,10,5.0
2170,5586,97,1,31.0
815,8458,814,3,34.0
5706,9173,2336,10,59.0
5174,7537,4947,10,14.0
4683,2308,3044,7,50.0
9704,4315,4582,5,47.0
9667,7665,8428,6,29.0
8493,1585,5781,5,98.0
5282,9749,6419,1,11.0
4211,4975,4582,3,47.0
7719,3134,7483,7,47.0
9322,2470,2274,4,47.0
7692,2230,6692,6,88.0
4589,3844,137,4,78.0
8961,2736,298,2,96.0
8730,4924,4120,5,7.0
7227,5611,9965,2,86.0
2247,4332,8430,8,58.0
683,9080,2274,9,58.0
6464,9670,2346,6,82.0
4091,4024,2928,9,74.0
1708,6157,137,2,64.0
3993,241,5771,4,92.0
2506,5161,2928,1,9.0
3484,3010,5836,5,12.0
1940,7223,4120,2,23.0
1770,6979,9556,5,7.0
7810,9657,4491,5,39.0
5398,629,2629,7,22.0
1600,7838,5781,7,39.0
5463,2951,9965,8,85.0
7854,3256,2274,7,79.0
1069,3135,6797,3,56.0
7749,4952,4120,6,53.0
2312,2998,9556,4,8.0
6618,6329,9965,2,15.0
7661,451,137,6,57.0
6713,7938,814,4,22.0
3536,9173,204,3,59.0
4459,3387,298,4,80.0
5170,7665,5771,6,97.0
5747,2124,204,9,37.0
3851,3929,1657,10,65.0
3377,3985,4491,8,19.0
1601,4893,4898,8,95.0
3967,6073,9965,3,13.0
8939,6072,9805,10,36.0
950,6931,2886,8,80.0
9515,6833,7618,2,81.0
5963,8344,5587,9,50.0
1621,4332,2336,10,9.0
3121,1585,4582,9,90.0
7333,3823,2928,5,62.0
4229,5156,2088,4,26.0
2784,4332,8121,6,81.0
5290,8110,4491,6,4.0
9473,4847,6630,9,97.0
9383,6073,7483,8,56.0
7276,5619,2750,5,39.0
82,5679,2629,7,61.0
6281,9115,8428,3,71.0
3477,6833,1657,6,91.0
8489,1045,6419,4,54.0
5195,7187,1657,2,82.0
4650,9080,8428,8,36.0
6534,9749,9125,9,65.0
4879,3134,7483,6,86.0
714,7187,755,6,46.0
9432,8110,137,6,48.0
8952,2761,5771,8,95.0
6058,4952,8430,6,63.0
4362,9360,2088,5,52.0
2404,6329,814,6,16.0
4193,7938,2346,6,84.0
2196,5655,2750,9,33.0
2180,4952,9556,4,39.0
9526,2148,4582,9,17.0
587,7979,5961,6,53.0
1752,7938,6348,1,43.0
9968,5655,2336,5,24.0
9777,3134,2269,3,43.0
218,2736,8639,7,39.0
2614,4460,8430,5,78.0
5584,5655,814,9,51.0
3455,9749,6630,7,76.0
9719,5619,1516,2,46.0
6391,4460,8121,4,84.0
7847,1678,2886,2,10.0
272,3214,2750,7,33.0
5720,5156,7618,2,59.0
3917,2521,9433,4,1.0
6823,716,1657,3,90.0
6602,660,9125,3,56.0
6009,8863,6419,9,28.0
1713,6073,755,6,23.0
2414,6072,8428,5,5.0
1661,716,9433,2,8.0
4638,4975,755,6,13.0
4558,1585,9965,7,40.0
7127,5655,5781,6,49.0
6908,8344,9125,1,31.0
5320,7310,1657,6,71.0
118,3633,2336,9,95.0
1926,4315,9965,2,64.0
384,3823,8639,5,80.0
1314,8587,5587,6,81.0
8666,3134,9965,6,99.0
2191,7537,7618,1,92.0
6821,6256,6348,5,62.0
2633,7187,1263,9,84.0
2692,4332,5961,2,85.0
2027,629,204,9,86.0
4808,5679,3044,9,34.0
4065,660,2928,9,1.0
3334,2723,6692,2,66.0
3499,4924,7316,5,35.0
2694,9670,7483,5,8.0
5076,4952,6797,2,38.0
2754,1828,7618,9,9.0
3945,4460,8430,3,23.0
6228,3256,3225,5,39.0
2422,3214,9860,2,94.0
4768,1585,5781,2,74.0
3160,4952,6630,9,45.0
8603,2761,814,6,86.0
6457,6157,137,7,65.0
1774,6072,3044,5,35.0
8321,8587,6630,2,11.0
2237,4990,3225,5,16.0
7442,4847,814,1,7.0
8017,6073,6630,6,21.0
5272,6979,2886,4,76.0
9750,4990,5836,6,22.0
4410,5156,4491,2,54.0
2671,4315,814,8,87.0
59,2148,1516,5,68.0
6907,3010,6630,7,78.0
7872,6073,9805,4,46.0
4572,4332,9620,6,71.0
7228,2951,1657,6,48.0
9093,5550,2750,6,12.0
5622,4332,4491,3,93.0
998,3134,7483,3,38.0
9194,2841,8121,4,61.0
784,1828,97,4,17.0
3237,7049,5781,9,19.0
3030,7310,4491,6,98.0
8757,6073,8430,5,91.0
5948,3387,204,10,90.0
